,Male,Age,openness,neuroticism,conscientiousness,agreeableness,extraversion,Personality (Class label)
0,1,17,7,4,7,3,2,extraverted
1,1,19,4,5,4,6,6,serious
2,0,18,7,6,4,5,5,dependable
3,0,22,5,6,7,4,3,extraverted
4,0,19,7,4,6,5,4,lively
5,1,18,5,7,7,6,4,lively
6,0,17,5,6,5,7,4,extraverted
7,0,19,6,6,7,5,4,extraverted
8,1,18,5,7,5,6,7,dependable
9,0,19,5,5,7,4,5,lively
10,1,19,6,7,5,6,3,serious
11,1,19,7,6,7,7,6,extraverted
12,1,19,7,6,6,5,6,lively
13,0,19,6,7,5,5,5,dependable
14,0,19,5,5,4,5,4,responsible
15,1,19,5,6,4,6,3,extraverted
16,0,19,7,7,2,6,5,serious
17,0,18,6,7,4,4,2,dependable
18,0,19,6,6,6,4,3,responsible
19,0,19,5,6,3,3,3,extraverted
20,0,19,6,4,6,3,4,responsible
21,1,18,4,5,4,3,6,extraverted
22,0,19,5,4,5,5,3,responsible
23,1,20,5,3,3,4,4,serious
24,0,19,6,7,5,5,4,serious
25,0,19,7,5,6,6,5,dependable
26,0,18,6,4,5,5,4,extraverted
27,0,19,4,6,4,7,6,extraverted
28,0,27,6,5,6,4,5,lively
29,0,17,7,4,7,6,5,lively
30,0,21,6,6,3,5,4,extraverted
31,1,18,6,5,5,6,1,extraverted
32,0,18,6,6,5,6,3,dependable
33,1,18,6,3,5,5,4,lively
34,1,18,5,7,3,6,4,serious
35,0,19,7,6,6,6,5,lively
36,0,18,7,6,6,7,5,responsible
37,0,18,7,7,5,7,3,responsible
38,0,17,7,5,7,7,2,dependable
39,0,20,6,5,4,5,5,serious
40,1,19,3,5,3,4,2,dependable
41,0,17,6,7,6,6,6,extraverted
42,0,18,7,5,6,6,4,serious
43,0,20,5,7,5,6,3,extraverted
44,1,28,6,5,7,6,4,dependable
45,1,17,5,6,5,5,3,dependable
46,0,18,5,5,4,4,3,responsible
47,0,20,7,6,6,4,4,serious
48,0,18,6,4,3,6,2,lively
49,0,19,6,4,5,6,4,lively
50,0,19,3,4,5,5,1,extraverted
51,0,18,4,5,4,6,1,extraverted
52,1,17,5,4,3,6,6,serious
53,0,23,6,7,4,4,5,extraverted
54,0,19,7,5,7,4,6,lively
55,1,18,7,5,5,4,3,lively
56,0,17,5,5,4,6,4,extraverted
57,0,18,6,6,5,4,4,dependable
58,0,19,5,6,5,4,7,lively
59,1,19,5,4,6,1,3,lively
60,1,19,3,7,2,6,7,responsible
61,0,18,7,6,5,5,5,extraverted
62,0,19,6,5,4,5,2,responsible
63,1,19,6,6,2,5,6,dependable
64,0,18,7,5,5,4,5,serious
65,1,19,6,6,5,5,4,serious
66,0,17,6,5,5,4,4,responsible
67,0,19,5,6,5,6,4,dependable
68,1,19,6,5,5,6,6,responsible
69,0,19,5,5,5,7,3,dependable
70,1,18,6,6,4,4,3,extraverted
71,1,18,7,6,6,5,7,extraverted
72,0,17,5,5,5,5,3,responsible
73,0,19,5,5,4,4,4,dependable
74,0,18,5,4,5,6,4,responsible
75,0,18,7,4,6,6,4,serious
76,0,17,4,6,4,4,1,extraverted
77,0,17,7,4,5,5,5,dependable
78,0,19,6,4,5,5,6,lively
79,0,18,5,1,3,5,2,lively
80,1,18,3,6,3,3,2,extraverted
81,0,18,7,5,7,5,2,lively
82,1,21,6,5,5,5,3,serious
83,0,21,6,5,6,5,2,responsible
84,0,18,6,4,4,6,4,extraverted
85,1,18,7,5,7,6,1,serious
86,0,19,5,4,7,4,4,dependable
87,0,18,4,6,2,1,4,serious
88,1,20,5,6,6,5,3,dependable
89,1,18,6,7,6,5,4,responsible
90,0,18,6,4,5,4,6,dependable
91,1,18,6,5,3,5,3,extraverted
92,0,18,7,5,2,4,3,extraverted
93,1,21,4,4,4,4,4,serious
94,1,21,6,6,5,6,4,lively
95,1,18,3,6,6,1,3,responsible
96,0,18,4,4,5,7,3,dependable
97,0,19,5,5,4,6,3,lively
98,1,19,2,5,3,6,4,serious
99,0,19,5,5,2,2,1,responsible
100,1,18,5,3,3,6,2,responsible
101,0,19,6,5,2,3,3,lively
102,1,27,7,5,6,7,3,dependable
103,1,17,6,5,4,7,5,dependable
104,0,21,4,6,3,5,2,lively
105,0,18,7,6,4,1,1,extraverted
106,0,17,7,4,7,3,7,responsible
107,0,19,5,1,5,1,5,lively
108,0,18,6,5,3,2,3,extraverted
109,1,22,7,5,3,6,3,dependable
110,0,19,5,5,6,3,2,serious
111,0,18,7,5,7,1,5,serious
112,0,17,7,4,4,6,4,lively
113,1,19,3,4,4,2,5,lively
114,1,18,2,6,6,7,5,extraverted
115,0,19,6,2,6,5,5,responsible
116,0,19,3,6,6,1,4,dependable
117,1,19,4,6,7,6,5,dependable
118,0,28,6,4,6,5,4,responsible
119,0,17,5,3,4,7,6,dependable
120,0,18,5,5,5,6,5,responsible
121,1,20,7,5,7,2,2,serious
122,0,18,4,5,5,6,3,serious
123,0,19,4,6,6,5,6,lively
124,0,19,5,3,6,5,2,serious
125,1,28,7,3,6,4,3,extraverted
126,0,17,2,6,3,6,1,serious
127,1,18,5,7,7,6,2,extraverted
128,1,20,7,2,4,5,2,responsible
129,0,18,3,1,6,5,2,responsible
130,0,19,5,3,4,5,3,lively
131,0,19,3,5,5,7,4,extraverted
132,0,21,7,2,3,3,5,responsible
133,0,18,5,5,4,5,3,serious
134,0,17,4,3,7,6,3,responsible
135,0,19,4,7,6,5,3,serious
136,0,18,3,7,6,1,6,serious
137,1,22,2,6,5,4,6,extraverted
138,1,19,6,2,6,6,3,extraverted
139,0,18,7,5,6,2,6,dependable
140,0,17,7,7,6,6,4,dependable
141,0,19,6,2,7,6,3,lively
142,0,18,5,3,6,7,7,lively
143,0,20,5,5,6,2,5,dependable
144,0,18,4,6,5,1,6,responsible
145,1,19,3,5,7,6,5,serious
146,0,19,5,2,5,4,4,serious
147,1,18,5,3,6,7,4,serious
148,0,17,6,3,5,5,7,extraverted
149,1,23,5,3,4,5,5,serious
150,0,19,3,4,7,7,7,extraverted
151,0,18,7,5,4,1,5,dependable
152,0,17,4,1,7,6,5,responsible
153,0,18,3,6,3,7,6,lively
154,0,19,6,4,3,1,7,extraverted
155,0,19,5,2,2,2,4,dependable
156,0,19,2,2,3,4,4,serious
157,1,18,6,3,2,3,4,responsible
158,0,19,4,6,6,5,4,extraverted
159,1,19,5,6,4,6,2,lively
160,1,18,2,5,3,7,1,serious
161,0,19,4,7,5,4,5,extraverted
162,0,17,4,7,4,7,3,dependable
163,0,19,1,1,5,5,6,dependable
164,0,19,7,6,6,5,7,dependable
165,0,19,5,7,7,7,4,responsible
166,1,18,6,7,5,4,1,dependable
167,0,19,7,4,4,4,6,responsible
168,1,27,5,5,6,6,7,lively
169,1,17,2,7,2,6,2,responsible
170,1,21,6,3,4,5,1,lively
171,0,18,6,3,5,3,2,extraverted
172,0,17,5,4,1,5,2,extraverted
173,1,19,5,3,1,3,3,responsible
174,0,18,5,5,2,6,4,serious
175,0,19,5,7,2,4,2,extraverted
176,0,19,5,4,2,1,5,lively
177,1,18,7,7,1,1,1,extraverted
178,0,19,6,2,2,7,4,extraverted
179,1,20,5,3,1,5,5,serious
180,0,19,5,7,1,6,6,serious
181,1,19,4,5,5,4,3,serious
182,0,18,5,3,4,6,2,responsible
183,0,19,6,1,5,4,5,serious
184,0,27,5,2,3,7,5,extraverted
185,0,23,6,7,3,7,7,lively
186,1,20,6,5,1,7,4,lively
187,1,25,5,7,1,3,6,extraverted
188,0,18,6,7,4,4,6,serious
189,1,21,5,5,2,7,1,dependable
190,1,22,3,4,7,6,5,serious
191,1,17,4,4,7,6,5,lively
192,0,20,4,5,3,4,1,responsible
193,1,18,6,3,1,5,7,lively
194,0,19,5,2,3,6,1,serious
195,1,19,4,5,5,7,5,extraverted
196,0,18,5,3,1,5,5,extraverted
197,0,18,2,7,1,4,4,responsible
198,1,20,6,6,1,2,2,lively
199,0,18,5,5,3,6,1,extraverted
200,1,19,5,5,2,7,4,dependable
201,1,19,4,7,4,6,4,responsible
202,1,17,6,2,1,6,6,serious
203,0,19,4,5,2,5,5,responsible
204,1,18,7,2,1,7,6,dependable
205,1,19,3,4,3,6,3,responsible
206,0,19,6,1,1,7,6,serious
207,0,18,2,5,7,7,7,dependable
208,1,22,6,1,2,7,4,serious
209,1,19,5,1,1,2,3,lively
210,0,18,5,5,6,6,5,extraverted
211,0,17,4,4,4,7,5,serious
212,0,19,4,1,1,3,5,dependable
213,1,18,4,3,3,7,7,serious
214,0,20,5,1,5,7,6,lively
215,0,23,5,5,5,7,6,extraverted
216,1,20,6,2,7,6,1,lively
217,0,25,6,1,4,6,4,responsible
218,0,18,4,1,2,7,5,responsible
219,0,21,6,1,5,7,7,extraverted
220,1,22,5,4,6,5,3,serious
221,1,19,7,2,1,6,4,extraverted
222,0,18,6,1,3,7,5,responsible
223,1,19,1,2,3,7,6,responsible
224,0,19,4,1,4,7,4,responsible
225,0,19,5,5,5,4,4,dependable
226,1,19,5,1,5,6,6,dependable
227,0,19,5,1,7,6,5,dependable
228,0,19,5,1,2,5,4,responsible
229,1,19,7,2,6,4,4,serious
230,1,19,6,7,6,6,4,extraverted
231,0,18,4,5,5,4,6,serious
232,1,17,3,4,3,1,5,lively
233,0,19,6,1,2,7,7,extraverted
234,1,18,7,2,4,6,5,extraverted
235,0,19,6,5,5,4,6,dependable
236,1,19,5,3,6,6,5,lively
237,1,19,2,1,5,6,6,lively
238,0,19,6,1,4,6,7,serious
239,0,19,5,1,3,7,5,responsible
240,1,19,5,3,2,7,7,dependable
241,0,19,5,1,3,5,4,responsible
242,1,19,3,4,2,4,6,extraverted
243,1,18,6,3,6,7,6,responsible
244,0,21,6,4,5,5,5,extraverted
245,0,22,5,1,1,7,6,serious
246,0,17,7,3,3,1,6,dependable
247,1,20,6,1,6,4,5,extraverted
248,1,18,5,7,6,5,6,extraverted
249,0,19,4,5,5,4,4,dependable
250,1,19,6,5,1,4,7,responsible
251,1,22,3,4,3,4,7,lively
252,1,19,5,7,2,6,5,serious
253,1,18,2,6,7,3,6,serious
254,0,19,5,6,3,4,7,serious
255,0,19,3,5,3,3,4,extraverted
256,1,19,5,6,5,6,1,dependable
257,0,19,7,3,3,5,5,responsible
258,1,23,4,3,6,2,6,dependable
259,0,20,3,4,7,6,4,lively
260,1,25,2,6,6,2,5,responsible
261,1,18,6,6,4,4,4,lively
262,0,21,6,6,4,7,5,extraverted
263,1,22,7,7,2,5,4,serious
264,1,17,4,7,7,3,5,responsible
265,0,25,5,5,5,4,5,responsible
266,0,26,1,5,4,6,5,dependable
267,1,27,1,5,2,7,3,dependable
268,1,20,4,2,3,5,5,serious
269,0,17,6,3,3,1,5,serious
270,0,19,6,1,6,4,6,serious
271,1,19,6,3,3,6,7,lively
272,1,21,7,2,4,6,4,serious
273,0,22,6,4,4,4,5,extraverted
274,1,23,3,3,2,3,7,responsible
275,1,21,4,4,1,6,6,lively
276,0,21,7,1,4,5,4,dependable
277,1,20,7,4,6,3,4,serious
278,0,20,6,5,1,3,5,lively
279,0,18,4,4,1,5,3,dependable
280,1,18,4,4,4,6,3,lively
281,1,19,5,4,3,5,6,dependable
282,1,18,4,3,3,5,3,serious
283,0,19,6,6,2,3,7,extraverted
284,1,20,6,6,6,3,3,dependable
285,1,21,6,2,2,7,5,lively
286,0,21,6,4,7,5,7,serious
287,1,25,7,7,5,6,7,extraverted
288,0,22,3,6,7,4,3,lively
289,1,17,5,2,7,5,1,lively
290,1,20,3,4,7,5,5,extraverted
291,0,18,5,5,5,7,5,dependable
292,0,19,5,6,7,4,5,serious
293,0,19,3,5,6,5,5,extraverted
