,Male,Age,openness,neuroticism,conscientiousness,agreeableness,extraversion,Personality (class label)
0,0,20,7,9,9,5,5,dependable
1,1,17,5,4,5,2,4,serious
2,0,25,5,5,7,2,4,serious
3,0,18,6,2,7,4,7,serious
4,0,19,2,4,7,1,3,responsible
5,0,19,6,4,7,5,5,serious
6,0,24,1,2,7,4,6,extraverted
7,1,27,4,5,7,4,4,serious
8,1,20,6,4,5,6,6,serious
9,1,21,5,4,4,6,4,serious
10,1,20,6,1,7,6,5,serious
11,1,19,4,4,4,4,3,responsible
12,0,20,4,5,5,5,2,responsible
13,0,20,4,4,4,4,5,serious
14,0,19,7,2,4,3,4,lively
15,0,17,6,6,5,7,6,extraverted
16,1,17,5,4,6,6,5,serious
17,1,18,5,3,5,6,7,serious
18,1,23,4,2,1,5,6,serious
19,0,23,5,4,4,5,4,extraverted
20,0,24,5,3,7,3,5,serious
21,0,25,5,7,3,7,6,dependable
22,0,20,4,5,6,5,5,serious
23,1,19,6,6,5,1,3,extraverted
24,0,19,6,1,5,5,6,extraverted
25,1,17,6,6,7,6,4,serious
26,1,17,4,6,3,5,4,extraverted
27,1,22,6,8,2,6,4,dependable
28,1,23,3,6,6,7,3,serious
29,0,21,4,2,3,5,4,responsible
30,1,19,4,4,6,4,3,serious
31,1,24,6,2,5,2,2,lively
32,1,25,5,5,1,7,6,extraverted
33,0,26,6,2,6,3,3,lively
34,1,23,7,4,7,5,5,serious
35,0,18,4,4,6,3,5,serious
36,1,19,2,4,5,5,6,serious
37,1,20,2,2,4,7,5,serious
38,0,17,3,7,3,3,7,extraverted
39,0,21,5,4,6,1,5,serious
40,1,18,5,4,6,2,1,responsible
41,0,19,2,5,4,6,3,responsible
42,0,22,3,6,6,1,6,serious
43,0,20,8,2,5,1,4,extraverted
44,0,25,4,6,6,3,6,dependable
45,1,24,5,6,3,3,8,serious
46,0,17,5,6,6,2,3,responsible
47,0,21,5,6,7,4,6,dependable
48,0,25,2,5,4,4,7,serious
49,1,23,5,7,1,3,6,extraverted
50,1,17,6,5,6,2,7,serious
51,1,19,5,5,5,4,3,serious
52,0,24,2,6,7,4,6,serious
53,1,24,4,5,5,6,2,lively
54,0,19,6,6,5,3,6,extraverted
55,1,28,4,7,6,2,5,serious
56,0,20,3,5,3,8,5,extraverted
57,0,21,4,4,5,6,4,serious
58,1,19,5,2,7,7,6,serious
59,1,24,6,4,5,2,6,serious
60,0,25,3,2,7,2,3,responsible
61,1,26,6,4,6,6,4,serious
62,0,21,7,5,5,1,5,dependable
63,1,19,5,5,4,2,7,serious
64,0,18,3,5,4,8,7,serious
65,0,20,4,5,5,2,4,responsible
66,1,19,1,4,6,7,5,serious
67,1,21,5,6,5,1,4,serious
68,1,21,3,4,6,4,7,serious
69,1,18,3,3,5,7,5,serious
70,1,19,5,1,1,5,5,serious
71,0,24,6,4,4,1,7,serious
72,1,23,3,6,5,5,6,serious
73,1,25,7,2,5,5,5,serious
74,0,23,3,3,3,5,4,responsible
75,0,19,4,6,5,4,4,extraverted
76,1,20,4,4,5,7,6,serious
77,0,21,5,4,2,5,8,serious
78,1,19,5,5,7,7,4,serious
79,0,18,5,7,7,4,5,extraverted
80,1,20,6,4,7,6,5,serious
81,1,23,7,5,4,6,6,serious
82,1,19,7,6,4,3,5,extraverted
83,0,26,5,6,5,7,3,extraverted
84,1,20,5,3,7,8,6,serious
85,1,18,6,2,7,6,4,lively
86,0,23,2,2,6,4,6,serious
87,0,21,4,3,4,5,6,serious
88,1,21,1,1,6,5,6,serious
89,0,17,6,3,5,6,4,serious
90,1,24,4,4,4,5,6,dependable
91,0,19,6,3,2,4,3,responsible
92,0,22,5,5,5,5,6,responsible
93,0,21,5,3,6,8,6,serious
94,0,20,6,2,5,6,7,serious
95,1,23,3,6,6,4,3,serious
96,1,19,5,4,4,5,5,serious
97,0,23,5,6,6,6,3,extraverted
98,0,18,5,5,8,6,5,serious
99,0,18,4,5,6,5,6,serious
100,0,24,6,5,5,6,3,extraverted
101,0,18,2,7,1,4,8,extraverted
102,0,23,6,6,1,2,2,extraverted
103,0,18,7,4,3,6,1,extraverted
104,1,19,5,5,4,6,4,dependable
105,1,19,4,7,4,6,8,serious
106,0,22,6,2,1,6,6,serious
107,0,19,5,6,2,5,5,extraverted
108,1,18,7,2,7,3,6,dependable
109,1,19,3,4,3,6,5,serious
110,1,20,6,1,1,7,6,serious
111,0,18,4,6,7,7,7,serious
112,1,22,6,1,5,6,4,lively
113,1,19,5,1,1,2,8,serious
114,1,25,5,5,6,6,5,extraverted
115,0,17,6,6,4,7,5,extraverted
116,0,19,4,1,5,7,5,serious
117,1,18,4,3,3,7,4,serious
118,1,17,5,1,5,7,6,serious
119,0,23,6,7,5,7,6,extraverted
120,1,20,6,2,5,8,1,lively
121,0,25,6,1,4,6,3,lively
122,1,20,4,1,2,7,5,responsible
123,0,21,7,4,5,7,7,serious
124,1,22,5,4,7,5,3,lively
125,1,19,7,2,1,6,5,serious
126,1,20,6,1,3,7,5,serious
127,1,19,5,5,3,7,6,responsible
128,0,19,4,1,6,6,4,responsible
129,0,19,5,5,5,4,6,serious
130,0,22,5,1,5,6,6,dependable
131,0,19,6,6,7,6,5,dependable
132,1,24,5,1,2,5,4,serious
133,1,19,6,6,6,4,4,serious
134,1,19,6,7,7,4,4,dependable
135,0,18,4,5,5,4,5,responsible
136,0,22,3,4,3,1,5,responsible
137,0,19,5,5,2,7,7,extraverted
138,1,18,7,2,5,5,5,serious
139,0,19,6,5,5,4,7,serious
140,0,22,5,3,6,6,5,serious
141,1,19,5,5,5,6,6,serious
142,0,19,6,1,7,3,7,serious
143,0,19,5,1,3,7,6,serious
144,0,25,5,3,2,7,7,dependable
145,0,19,6,4,3,5,4,extraverted
146,1,19,3,4,5,6,6,serious
147,1,18,6,3,6,7,5,serious
148,1,26,6,4,5,5,5,serious
149,0,22,4,4,1,7,6,serious
150,0,17,7,3,5,3,6,serious
151,1,20,6,1,6,4,4,lively
152,0,23,5,7,6,5,6,extraverted
153,0,19,5,6,5,4,4,extraverted
154,1,19,6,5,4,5,7,responsible
155,1,22,3,4,3,4,3,responsible
156,0,21,5,7,2,6,5,extraverted
157,1,18,3,5,7,3,6,serious
158,0,19,5,6,4,2,7,serious
159,0,19,3,5,3,3,2,responsible
160,0,20,5,6,5,6,1,extraverted
161,0,19,5,4,3,5,5,serious
162,1,23,4,3,2,6,6,dependable
163,0,20,3,4,7,6,6,serious
164,0,17,2,6,6,2,5,responsible
165,1,18,4,4,4,4,4,lively
166,0,21,6,6,5,6,5,extraverted
167,1,22,7,7,2,5,7,responsible
168,0,19,4,7,7,3,5,extraverted
169,0,25,3,3,5,4,5,serious
170,0,26,1,5,5,5,5,serious
171,1,27,1,5,2,7,6,serious
172,0,18,4,2,3,5,5,responsible
173,0,17,5,5,3,1,5,responsible
174,0,19,6,1,5,5,6,serious
175,1,19,6,3,3,6,5,serious
176,0,23,7,2,4,6,4,lively
177,0,22,7,3,4,4,5,serious
178,1,23,3,3,5,4,7,responsible
179,1,21,4,4,1,6,4,serious
180,1,17,7,1,4,5,4,lively
181,1,20,5,6,6,3,4,serious
182,0,20,6,5,4,4,5,extraverted
183,0,18,4,4,1,5,6,extraverted
184,0,24,4,4,4,6,3,extraverted
185,1,19,7,3,3,5,6,serious
186,1,18,4,3,6,6,3,serious
187,0,19,6,6,2,3,5,extraverted
188,0,23,6,6,6,3,3,extraverted
189,1,21,5,5,2,7,5,serious
190,0,21,6,4,6,6,5,serious
191,1,25,7,7,5,6,6,extraverted
192,1,18,3,6,7,4,3,lively
193,1,17,7,5,7,5,1,lively
194,1,20,3,4,6,6,5,serious
195,0,18,5,5,5,7,4,extraverted
196,1,24,5,6,7,4,5,serious
197,0,19,6,6,6,5,5,extraverted
198,1,18,3,5,4,4,2,responsible
199,0,18,5,4,6,7,4,dependable
200,1,21,6,4,7,5,5,serious
201,1,18,4,6,3,6,5,serious
202,1,17,5,4,5,8,1,lively
203,0,17,5,4,6,7,5,extraverted
204,0,21,5,5,7,6,4,serious
205,1,20,7,5,5,4,5,serious
206,1,18,6,3,6,6,6,serious
207,0,19,3,5,3,5,5,extraverted
208,0,23,6,6,6,4,6,responsible
209,1,18,8,3,6,7,6,serious
210,0,18,2,7,6,6,4,extraverted
211,0,20,6,6,1,5,5,responsible
212,1,24,6,7,3,1,5,extraverted
213,0,20,5,8,2,5,7,extraverted
214,1,18,7,7,8,4,2,lively
215,1,18,6,6,3,6,6,dependable
216,1,23,6,6,3,6,3,extraverted
217,0,18,7,7,7,5,6,dependable
218,1,21,7,6,6,6,5,serious
219,1,21,6,7,7,4,5,dependable
220,1,22,4,6,3,5,4,lively
221,1,18,5,7,5,4,5,extraverted
222,0,19,6,6,5,4,4,dependable
223,1,19,2,5,5,3,7,serious
224,1,23,5,4,6,4,5,serious
225,1,19,7,8,7,4,3,extraverted
226,1,19,1,6,7,8,7,serious
227,0,20,3,7,3,2,5,extraverted
228,0,18,5,6,7,5,4,responsible
229,1,21,6,7,7,6,5,serious
230,0,20,2,6,5,5,3,extraverted
231,1,17,3,7,6,3,7,serious
232,1,22,3,7,6,6,7,serious
233,0,19,6,6,3,5,7,serious
234,0,17,6,7,4,4,5,extraverted
235,1,20,3,7,7,5,6,serious
236,1,22,4,4,5,2,3,serious
237,0,19,6,8,1,3,6,extraverted
238,1,19,6,5,6,7,5,serious
239,0,21,4,5,7,7,5,serious
240,1,18,7,5,7,5,5,serious
241,1,26,2,5,3,6,6,serious
242,0,26,3,6,6,6,5,extraverted
243,1,24,5,4,5,7,8,serious
244,0,18,2,6,6,7,6,extraverted
245,0,20,5,6,2,2,3,extraverted
246,1,18,6,5,5,5,7,serious
247,1,19,1,5,4,7,6,serious
248,0,22,3,3,2,6,4,responsible
249,0,17,6,6,3,6,5,extraverted
250,0,21,2,3,7,8,5,serious
251,1,20,4,7,3,5,4,responsible
252,1,19,7,3,4,7,5,serious
253,1,17,6,6,2,5,6,extraverted
254,1,20,6,4,8,5,5,serious
255,0,18,1,4,2,5,5,lively
256,0,22,5,3,4,5,2,responsible
257,0,19,6,8,6,4,4,extraverted
258,1,18,5,1,6,6,3,lively
259,1,20,7,4,7,6,7,serious
260,0,19,6,2,3,5,4,responsible
261,0,5,5,5,5,5,5,responsible
262,0,21,7,1,7,8,5,lively
263,1,22,6,2,2,4,4,dependable
264,1,19,4,4,5,4,5,serious
265,1,20,5,5,3,4,3,serious
266,0,18,5,4,4,6,6,serious
267,1,19,4,3,1,7,5,serious
268,0,22,7,4,4,3,6,responsible
269,1,18,6,6,3,2,6,serious
270,0,18,5,8,5,5,4,extraverted
271,1,20,1,7,6,3,7,serious
272,0,22,5,5,4,5,3,lively
273,1,17,3,2,7,4,6,serious
274,0,18,6,6,8,2,1,responsible
275,0,19,6,2,7,1,4,responsible
276,0,21,5,6,3,5,4,serious
277,1,24,4,6,5,6,2,extraverted
278,0,21,1,6,7,4,6,serious
279,1,20,4,6,6,3,6,serious
280,1,19,4,2,6,2,3,responsible
281,1,19,7,7,4,4,5,extraverted
282,1,17,6,5,5,5,5,responsible
283,0,17,7,6,5,5,5,extraverted
284,1,22,7,5,7,2,3,lively
285,0,17,6,7,7,4,5,responsible
286,1,18,6,6,7,6,5,serious
287,0,19,6,5,5,6,4,extraverted
288,0,23,6,5,7,4,3,extraverted
289,1,20,7,7,2,7,6,extraverted
290,1,21,5,8,5,6,6,extraverted
291,0,20,5,6,4,6,7,extraverted
292,0,20,5,5,4,4,5,lively
293,1,19,4,6,6,4,5,serious
294,1,25,5,8,4,6,6,extraverted
295,0,25,7,4,3,8,5,extraverted
296,1,17,3,7,1,5,5,extraverted
297,0,18,5,5,6,6,4,extraverted
298,0,25,5,8,7,1,1,extraverted
299,0,22,6,5,5,7,5,extraverted
300,1,17,6,3,7,1,8,serious
301,1,18,5,6,6,4,4,serious
302,1,23,4,4,5,6,4,serious
303,1,24,4,7,7,3,6,serious
304,0,19,6,3,2,4,8,serious
305,0,19,4,5,6,5,5,serious
306,0,17,6,3,6,4,6,serious
307,1,20,1,2,5,8,4,serious
308,1,18,3,3,6,5,5,serious
309,1,22,4,4,7,5,6,serious
310,0,19,6,5,6,4,3,extraverted
311,1,18,2,5,8,3,7,dependable
312,1,18,7,5,6,2,7,serious
313,1,23,6,7,5,4,3,extraverted
314,0,18,5,7,3,5,6,extraverted
